item,device_type,reported_stock,note,source_ref
Lenovo thunderbox 3 dock,Dock,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=75
HDMI Switch,HDMI Switch,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=76
KVM Switch,KVM Switch,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=77
Asus Dvd Record,Dvd record,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=78
Kensington-Combination Lock,Combination Lock,10,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=79
Fortigate-80E,Firewall,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=80
Fortigate-60E,Firewall,3,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=81
Finger printer,Finger printer,4,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=82
Pole Display LD220-HP,Pole Display,3,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=83
Pole Display VFD,Pole Display,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=84
Grandstream GAC2500,Poly com,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=85
Samsung S22E310HY,Monitor,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=86
Datalogic QW2100,Scanning gun,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=87
Epson EB-X31,LCD Projector,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=88
HP-PC Kit,PC Kit,3,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=89
Vesa-PC Kit,PC Kit,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=90
Postek printer,Printer-O2O,9,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=91
Star-MCP31L BK EU,Bill printer,3,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=92
Star-SM-L200-UB40,Printer,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=93
Star-SM-T300I2-DB50,Printer,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=94
Aoc E960S,Monitor,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=95
LG L177WSB,Monitor,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=96
PDT-Symbol MC32N0,PDT,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=97
HP Engage Go 10 Mobile System,Mpos,3,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=98
HP Engage 2 x 20 Pole Display,Pole Display,3,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=99
Tivi Samsung,Tivi,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=100
Tivi Sam 2,Tivi,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=101
Lenovo Thinkpad E490,Laptop,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=102
Patch panel,Patch panel,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=103
Zebra-Dock PDT,Dock PDT,4,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=104
HP ProDesk 400 G6 DM,Mini PC,3,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=105
HP-P204V,Monitor,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=106
Epson TM-82III,Bill printer,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=107
HP Laser 107A,A4 Printer,3,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=108
Cisco CBS110-16T-EU,Switch,5,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=109
Unifi-UAP-nanoHD,Access Point,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=110
Zebra TC26BK,PDT,-2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=111
UBS APC BVX1200LI-MS,UPS,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=112
Samsung S6 Lite,bluetab,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=113
UPS SMC 1500,UPS,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=114
Barcode Printer-Zebra S4m,Barcode Printer,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=115
Samsung portable SSD 500Gb,SSD hard disk,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=116
2.5 Inch Hard Drive Enclosure,Hard disk box,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=117
Logitech-Wireless mouse,Wireless mouse,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=118
HP-Display port to VGA,Display port to VGA,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=119
OptiPlex 3090 Micro,Mini pc,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=120
HP Laser NEVERSTOP 1000W,A4 Printer,4,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=121
XPrinter XP-K300L,Bill printer,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=122
Cash Drawer-Maxcode,Cash Drawer,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=123
HP Probook 440 G9,Laptop,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=124
Modem 4G TP-Link M7350,Modem 4G,-3,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=125
Nec Model NP210,LCD Projector,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=126
SIM 4G Viettel,4G SIM Card,7,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=127
HP 19,Monitor,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=128
TP-Link MR6400,Modem 4G,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=129
SIM 4G Mobi,4G SIM Card,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=130
Dell mouse MOFLUOA,Mouse,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=131
Fortigate-40F,Firewall,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=132
Pos,Pos,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=133
Pole Display VFD220U,Monitor,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=134
Laptop Hp ProBook 440 G9,laptop,-2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=135
Fortigate-60F,Firewall,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=136
HP ProDesk 400 G7 DM,Mini Pc,9,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=137
HP 185E,Monitor,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=138
Dell E1916,Monitor,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=139
HP V20,Monitor,3,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=140
Laptop Hp ProBook 440 G6,Mini Pc,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=141
Laptop Dell Inspiron 3505,laptop,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=142
zebex z3100,Scanning gun,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=143
Samsung S19B370B,Monitor,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=144
Angustos,AngustosSwitch,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=145
DSP V9FB,Pole Display,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=146
Dell E2216HV,Monitor,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=147
TP link tl sf1008d,Switch,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=148
USB Wifi TP-Link AC1300,USB Wifi TP-Link,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=149
KPOS-VFD-220U,Pole Display,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=150
Wifi UBIQUITI UniFi,Access Point,16,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=151
Ugreen Silent MU006 Wireless Mouse,mouse,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=152
Ipad Air 13-inch(M3),Tablet,0,only for VN Asics,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=153
RUIJIE REEYE RG-EW1200G Pro,Access Point,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=154
Desktop HP PRO MINI 400 G9,Mini PC,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=155
aruba ap 535 jz336a,Access Point,7,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=156
SATO CL4NX Plus,Printer,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=157
HP V22,monitor,8,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=158
HPE Aruba 2930F,Switch,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=159
Samsung Tab A8,tablet,2,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=160
Canon MF445dw,A4 printer,1,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=161
Zebra DS2208-SR (wired),Barcode Scanner,5,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=162
Zebra DS2208-SR (wireless),Barcode Scanner,3,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=163
Zebra DS2208-SR Dock,Dock,3,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=164
Saramonic Air 01,Micro thu âm,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=165
Proton FD1000EB,Đèn LED,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=166
Samsung Tab S10 FE,tablet,0,,Asset management/Transititons/IT tool.xlsx#Infra Device (stock) !row=167
