transaction_key,item,transaction_type,quantity,transaction_date,unit,assigned_to,serial_numbers,description,remark,source_ref
STK-48B75790AD,HDD 500Gb,IN,1,22/02/2024,pcs,Stock IT,W62LFM8W,Old,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=26
STK-33EECC7F4A,HDD 500Gb,IN,1,22/02/2024,pcs,Stock IT,W62L7N7S,Old,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=27
STK-6C1E4A6CB3,HP ProDesk 400 G3 DM,IN,1,26/02/2024,pcs,ZK05-ZW05-ZV05,8CG7127F7Q,Bazzar,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=28
STK-095E111B3C,HP ProDesk 400 G3 DM,IN,1,26/02/2024,pcs,ZV01-H103-H104,8CG8105MSK,Bazzar,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=29
STK-697D3742DF,HP ProDesk 400 G3 DM,IN,1,26/02/2024,pcs,H101-H102,8CG75234Q2,Bazzar,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=30
STK-CDB1F8D7EC,HP 280 G3 MT,IN,1,26/02/2024,pcs,None-info,4CE7385WT0,none-info,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=31
STK-758B4808AD,HP 190V,IN,1,26/02/2024,pcs,ZK05-ZW05-ZV05-ZV01-H103-H104-H101-H102,1CR8420G66,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=32
STK-E27B753C87,HP 190V,IN,1,26/02/2024,pcs,VN17,1CR82307D4,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=33
STK-CB66AB3858,HP 190V,IN,1,26/02/2024,pcs,VF02,1CR84126GF,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=34
STK-44A0C44BBF,HP 194V,IN,1,26/02/2024,pcs,,3CQ6361YDZ,IT-BACKUP,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=35
STK-17C29F8145,HP 190V,IN,1,26/02/2024,pcs,PO01,1CR82307CY,Mất đế,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=36
STK-D004F79CE5,HP 190V,IN,1,26/02/2024,pcs,PO01,1CR82307CJ,Mất đế,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=37
STK-554160888A,AOC 1619Sw,IN,1,26/02/2024,pcs,,BMNB3JA000570,Old,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=38
STK-C864C011A4,AOC 931Swl,IN,1,26/02/2024,pcs,,CLCBCHA033328,Old,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=39
STK-67F35825BC,Samsung B1930N,IN,1,26/02/2024,pcs,,1458HYTZ912979F,Old,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=40
STK-44A9EBD0BE,Acer P196HQL,IN,1,26/02/2024,pcs,,MMLNNSS002238003D34301,Old,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=41
STK-C3BC7158EA,AOC 931Swl,IN,1,26/02/2024,pcs,,CLCBAHA018980,Old,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=42
STK-485D74527E,D-LINK DIR-619L,IN,1,26/02/2024,pcs,,RZPK2G2000820,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=43
STK-365FD1AA60,Lion (3 Port),IN,1,26/02/2024,pcs,,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=44
STK-C7F9EE3830,Power socket,IN,2,26/02/2024,pcs,,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=45
STK-AF1C23B774,Cable extend usb,IN,1,26/02/2024,pcs,,,IT Tool,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=46
STK-F9A2CE4E37,Comscope Cat5e,IN,2,26/02/2024,Box,,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=47
STK-1B5BBC129A,Keyboard,IN,17,26/02/2024,Pcs,,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=48
STK-74E5E050D8,Mouse,IN,16,26/02/2024,Pcs,,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=49
STK-F210D7DAB6,Aruba APIN0303,IN,1,26/02/2024,Pcs,,CNNZK9T2C8,FPT tặng khi kéo line internet dành cho mạng wifi guest,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=50
STK-9228A36709,Ruckus R720,IN,1,26/02/2024,Pcs,,312172007180,Set up cho office cũ,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=51
STK-EFA4F6A2C2,Ruckus R720,IN,1,26/02/2024,Pcs,,361803002766,Set up cho office cũ,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=52
STK-C13D7CF5F8,Avaya,IN,3,26/02/2024,Pcs,,19WZ29300DJW19WZ29300DHK19WZ29300D37,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=53
STK-6AFE9D596C,HDMI to HDMI (3M),IN,1,26/02/2024,Pcs,,,IT Tool,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=54
STK-9A66A344FF,TPink TL-WN725N,IN,1,26/02/2024,Pcs,,222B4M9005853,IT Tool,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=55
STK-9C37D0DB0B,Mercusys,IN,1,26/02/2024,Pcs,,22253D9009592,IT Tool,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=56
STK-F7F4BAFD1B,Mercusys,IN,1,26/02/2024,Pcs,,22253D8008268,IT Tool,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=57
STK-870E23CBA4,Mercusys,IN,1,26/02/2024,Pcs,,22253D9009871,IT Tool,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=58
STK-0C87485D9D,Ugreen 4 port,IN,1,26/02/2024,Pcs,,SN2100201238804,IT Tool,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=59
STK-0E02E32AB0,VGA to HDMI,IN,1,26/02/2024,Pcs,,,IT Tool,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=60
STK-85980347C0,HDMI to HDMI (2M),IN,1,26/02/2024,Pcs,,,IT Tool,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=61
STK-7679BD9417,HDMI to HDMI (1M) - Baseus,IN,1,26/02/2024,Pcs,,,IT Tool,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=62
STK-7FA0F13D2F,Lexar-32Gb,IN,3,26/02/2024,Pcs,,,IT Tool,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=63
STK-A6D638B7DE,Mercusys,IN,1,26/02/2024,Pcs,,22172W5002268,IT Tool,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=64
STK-3A2AEF53FB,Usb to Lan - Orico,IN,1,26/02/2024,Pcs,,,IT Tool,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=65
STK-142AE4E8E1,Hub Usb Orico 4 Port,IN,1,26/02/2024,Pcs,,,IT Tool,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=66
STK-8CD29C4CF0,HDMI to HDMI - Unitek,IN,1,26/02/2024,Pcs,,,IT Tool,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=67
STK-967781FC54,Usb to Lan - Ugreen,IN,1,26/02/2024,Pcs,,,IT Tool,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=68
STK-D2CAC68BE7,Display port to Display Port,IN,1,26/02/2024,Pcs,,,IT Tool,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=69
STK-C4D6982FB3,HDMI to HDMI - Unitek,IN,1,26/02/2024,Pcs,,,IT Tool,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=70
STK-F069DAEE42,Dlink - DSL 2640B,IN,1,26/02/2024,Pcs,,,IT Tool,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=71
STK-6198D23A04,Usb to Lan - Baseus,IN,1,26/02/2024,Pcs,,,IT Tool,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=72
STK-BC10514EA2,Hub Usb Unitek - 4 Port,IN,4,26/02/2024,Pcs,,,IT Tool,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=73
STK-DDE5A6EC58,Unitek - HDMI to VGA,IN,1,26/02/2024,Pcs,,,IT Tool,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=74
STK-27F3935687,Epson Usb wifi,IN,1,27/02/2024,Pcs,,,IT Tool,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=75
STK-EACFEABE80,Usb To Lan - Asus,IN,1,27/02/2024,Pcs,,,IT Tool,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=76
STK-822A696466,Epson TM-82II,IN,1,27/02/2024,Pcs,,TCEY002724,Use for ZV08,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=77
STK-C388958B56,Epson TM-82II,IN,1,27/02/2024,Pcs,,TCEY004688,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=78
STK-4CA46ED1D1,Epson TM-82II,IN,1,27/02/2024,Pcs,,TCCY011123,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=79
STK-242B8361FC,Epson TM-82II,IN,1,27/02/2024,Pcs,,TCCY011122,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=80
STK-A982EF9F9C,Laptop Thinkpad X280,IN,1,27/02/2024,Pcs,,PC0VT5RC,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=81
STK-79DD583326,Laptop Dell Latitude 3520,IN,1,27/02/2024,Pcs,,5R4JGL3,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=82
STK-C8AF369B38,Laptop Dell Latitude 3520,IN,1,27/02/2024,Pcs,,DP8VKG3,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=83
STK-30CDA3BCBE,Laptop Dell Latitude 3520,IN,1,27/02/2024,Pcs,,6S4JGL3,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=84
STK-31D7BC1434,Laptop Dell Latitude 3520,IN,1,27/02/2024,Pcs,,4R4JGL3,"Laptop trước là của Phan Bảo Hoàng làm rớt bể không xài được nữa, không có nguồn, mất 1 ram. Anh Đạt nói lúc đó chưa có quy trình bảo hành hay đền gì hết chỉ cấp máy mới cho Hoang nên cần phải check lại với team HR.",,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=85
STK-46BCF38467,Laptop Dell Latitude 5430,IN,1,27/02/2024,Pcs,,4084RV3,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=86
STK-B2BAF7568F,Laptop Dell Latitude 5430,IN,1,27/02/2024,Pcs,,F083SQ3,Maintanance,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=87
STK-7BB5BCDD28,Laptop HP 14s-cf2xxx,IN,1,27/02/2024,Pcs,,5CG11088PT,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=88
STK-A2A36F9F8C,HP 4-1011TU,IN,1,27/02/2024,Pcs,,CND218PWRZ,Máy cũ cấp cho anh Thắng COE từ rất lâu,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=89
STK-0510B6AD49,HP Elitebook 840 G4,IN,1,27/02/2024,Pcs,,CG7325LVQ,không biết mãy này trước của ai,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=90
STK-32210868F8,HP Probook 440 G2,IN,1,27/02/2024,Pcs,,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=91
STK-42B28CC862,Dell Vostro 14-5480,IN,1,27/02/2024,Pcs,,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=92
STK-1CFF069C89,Laptop Dell Latitude 5430,IN,1,27/02/2024,Pcs,minh.lengocbao,GB23SQ3,Maintanance,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=93
STK-39BBCA8BCA,Laptop Dell Latitude 3520,IN,1,29/02/2024,pcs,,1P8VKG3,Resigned-tram.phanthibao (MKT,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=94
STK-EB069484BB,Brother Label,IN,5,29/02/2024,pcs,,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=95
STK-88E69D22E8,Laptop Dell Latitude 3520,IN,1,29/02/2024,pcs,,,IT backup-Lô hàng Cambodia,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=96
STK-6877CF0374,Laptop Dell Latitude 3520,IN,1,29/02/2024,pcs,,6XSSKS3,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=97
STK-22DE49A6C4,Ổ SSD 256 Gb,IN,1,29/02/2024,pcs,,2109CY452920,Ổ cứng cũ của anh Sơn PD,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=98
STK-4205F71706,Ổ HDD,IN,1,29/02/2024,pcs,,,Bad,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=99
STK-B0ABC01725,Ổ HDD,IN,1,29/02/2024,pcs,,,POS PO01 - old,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=100
STK-29AA7E379B,Ổ HDD,IN,1,29/02/2024,pcs,,,Server PO01 -old,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=101
STK-4F4B282A3F,Ổ HDD,IN,1,29/02/2024,pcs,,,Server PO02-old,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=102
STK-8A77B2CD97,Ổ SSD 500 Gb,IN,1,29/02/2024,pcs,,S7BWNJ0W740274R,Samsung Evo-new (chuẩn bị cho máy VC03 cũ),,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=103
STK-F9C6EAA687,Ổ SSD 500 Gb,IN,1,29/02/2024,pcs,,S7BWNJ0W745997E,Samsung Evo-new (chuẩn bị cho máy VF02 cũ),,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=104
STK-A87D88DF54,Ổ SSD 500 Gb,OUT,1,29/02/2024,pcs,,S7BWNJ0W740274R,Samsung Evo-new (chuẩn bị cho máy VC03 cũ),,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=105
STK-F0B5E3A811,Ổ SSD 500 Gb,OUT,1,29/02/2024,pcs,,S7BWNJ0W745997E,Samsung Evo-new (chuẩn bị cho máy VF02 cũ),,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=106
STK-2A8B91B404,Ổ HDD,IN,1,29/02/2024,pcs,,W62L7N1A,PO02-Pos1,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=107
STK-A8B9976791,Ổ HDD,IN,1,29/02/2024,pcs,,W62LE31F,Admin-PO01,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=108
STK-1437D9FEF3,Ổ HDD,IN,1,29/02/2024,pcs,,W62KW2KT,POS02-PO01,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=109
STK-B28AD98A9E,Ổ HDD,IN,1,29/02/2024,pcs,,W62LFM8W,POS02-PO02,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=110
STK-50BFF36899,Avaya,IN,4,29/02/2024,pcs,,,Old,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=111
STK-242DC82BAE,Play MC500,IN,1,29/02/2024,pcs,,,Old,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=112
STK-2701DC07EB,TP-Link TL-SG116,IN,1,29/02/2024,pcs,,22064V6001872,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=113
STK-9F253B4400,D-Link DES-1016D,IN,1,29/02/2024,pcs,,F3065C9005771,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=114
STK-55E5728D57,D-Link DES-1016D,IN,1,29/02/2024,pcs,,QXHR1I4000091,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=115
STK-832D3A3436,D-Link DES-1016D,IN,1,29/02/2024,pcs,,S31U4I3002273,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=116
STK-A0BA8789F9,D-Link DES-1026G,IN,1,29/02/2024,pcs,,F38I5AB000135,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=117
STK-6BDABDBE05,Aruba HPE J9772A,IN,1,29/02/2024,pcs,,CN7AFP3302,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=118
STK-1CD33AFFBC,Draytek Vigor 300B,IN,1,29/02/2024,pcs,,188003671910,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=119
STK-FBC6788DE6,HP 190V,IN,1,29/02/2024,pcs,,1CR8420G4K,Cần sửa chữa,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=120
STK-F85693E6AF,HP 190V,IN,1,29/02/2024,pcs,,1CR8420G4Y,Cần sửa chữa,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=121
STK-9840D7A7B9,Lenovo tab M8,IN,1,2024-04-03 00:00:00,pcs,,HA1JYB4Z,IT backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=122
STK-EAAE236CEE,Lenovo tab M8,IN,1,2024-04-03 00:00:00,pcs,,HA1JZLX1,IT backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=123
STK-EC8807858D,Lenovo tab M8,IN,1,2024-04-03 00:00:00,pcs,,HA1JZCBD,IT backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=124
STK-4D8721C118,Lenovo tab M8,IN,1,2024-04-03 00:00:00,pcs,,HA1JZYJG,IT backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=125
STK-AE65D5B17D,Lenovo thunderbox 3 dock,IN,1,2024-04-03 00:00:00,pcs,,1S40ACZBK0AQ29,IT backup-Anh Đạt đang kím lại adapter,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=126
STK-651E4186A4,Lenovo thunderbox 3 dock,IN,1,2024-04-03 00:00:00,pcs,,HIDEN,IT backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=127
STK-6C77ABCB88,HDMI Switch,IN,1,2024-04-03 00:00:00,pcs,,HDMI0900058,IT backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=128
STK-D3E1BB56CB,KVM Switch,IN,1,2024-04-03 00:00:00,pcs,,F3I3-047-0524,IT backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=129
STK-1A45B2844B,Asus Dvd Record,IN,1,2024-04-03 00:00:00,pcs,,88D0BF873866,Nên thanh lý,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=130
STK-CC522DC6D5,Kensington-Combination Lock,IN,7,2024-04-03 00:00:00,pcs,,,IT Backup-Khóa laptop,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=131
STK-9533A5333E,Fortigate-80E,IN,1,2024-04-03 00:00:00,pcs,,FGT80ETK18006242,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=132
STK-B079FF2A43,Fortigate-60E,IN,1,2024-04-03 00:00:00,pcs,,FGT60ETK1809A9MK,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=133
STK-C2D81D7AB4,Fortigate-60E,IN,1,2024-04-03 00:00:00,pcs,,FGT60ETK18099JQS,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=134
STK-917EA8193C,Fortigate-60E,IN,1,2024-04-03 00:00:00,pcs,,FGT60ETK18050634,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=135
STK-751629C9BB,Finger printer,IN,1,2024-04-03 00:00:00,pcs,,6536180960135,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=136
STK-B0049E9963,Finger printer,IN,1,2024-04-03 00:00:00,pcs,,6536180960159,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=137
STK-25538C6AAE,Finger printer,IN,1,2024-04-03 00:00:00,pcs,,6536180960060,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=138
STK-B1244FE275,Pole Display LD220-HP,IN,1,2024-04-03 00:00:00,pcs,,2TD819AAEJ,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=139
STK-B40F9D2EC6,Pole Display LD220-HP,IN,1,2024-04-03 00:00:00,pcs,,2TD843AAAT,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=140
STK-CDD19EFC91,Pole Display LD220-HP,IN,1,2024-04-03 00:00:00,pcs,,2T819AAED,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=141
STK-6AF3B8FBA7,Pole Display VFD,IN,1,2024-04-03 00:00:00,pcs,,211130000034,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=142
STK-89AE536189,Pole Display VFD,IN,1,2024-04-03 00:00:00,pcs,,211130000024,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=143
STK-9D4637A8D9,Pole Display LD220-HP,OUT,1,2024-04-03 00:00:00,pcs,Anh Hiếu,2TD819AAEJ,Anh Hiếu mượn làm script,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=144
STK-A4D865B7AA,Grandstream GAC2500,IN,1,2024-04-03 00:00:00,pcs,,20NFCHJG4090D7F4,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=145
STK-8460B19B3D,Samsung S22E310HY,IN,1,2024-05-03 00:00:00,pcs,,ZZENH4LG900983K,IT backup-Không tìm thấy dây nguồn,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=146
STK-1CB6B9D15B,D-Link DES-1016D,IN,1,2024-05-03 00:00:00,pcs,,F30637A004130,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=147
STK-ABD6058BAF,HDMI to HDMI (3M),IN,1,2024-05-03 00:00:00,pcs,,,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=148
STK-B6703FE580,Datalogic QW2100,IN,1,2024-05-03 00:00:00,pcs,,G21E85959,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=149
STK-21B44B06F6,Datalogic QW2100,IN,1,2024-05-03 00:00:00,pcs,,G17MA2903,IT Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=150
