source_type,source_key,relation,target_type,target_key,source_ref
asset,SN:G18C39498,OBSERVED_AT,location,VA04,Audit 2026 device/Data store/Audit/VA04.xlsx#VA04!row=5
asset,SN:X7B9022768,OBSERVED_AT,location,VA04,Audit 2026 device/Data store/Audit/VA04.xlsx#VA04!row=6
asset,OBS:2E76A39368,OBSERVED_AT,location,VA04,Audit 2026 device/Data store/Audit/VA04.xlsx#VA04!row=7
asset,SN:22172W5002241,OBSERVED_AT,location,VA04,Audit 2026 device/Data store/Audit/VA04.xlsx#VA04!row=8
asset,SN:FGT40FTK24008605,OBSERVED_AT,location,VA04,Audit 2026 device/Data store/Audit/VA04.xlsx#VA04!row=9
asset,SN:LQHA364224,OBSERVED_AT,location,VA04,Audit 2026 device/Data store/Audit/VA04.xlsx#VA04!row=10
asset,SN:DHC4LQ3,OBSERVED_AT,location,VA05,Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=2
asset,OBS:17DAEAAE8D,OBSERVED_AT,location,VA05,Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=3
asset,OBS:FF4A1ED420,OBSERVED_AT,location,VA05,Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=4
asset,SN:MK410221102375,OBSERVED_AT,location,VA05,Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=5
asset,SN:D190928010059,OBSERVED_AT,location,VA05,Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=6
asset,SN:G23C76633,OBSERVED_AT,location,VA05,Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=7
asset,SN:3CQ23207GZ,OBSERVED_AT,location,VA05,Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=8
asset,SN:X7B9027872,OBSERVED_AT,location,VA05,Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=9
asset,SN:PSZ2717X8F,OBSERVED_AT,location,VA05,Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=10
asset,SN:9C05D67986B5,OBSERVED_AT,location,VA05,Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=11
asset,SN:FGT40FTK24012852,OBSERVED_AT,location,VA05,Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=12
asset,SN:NMYA846446,OBSERVED_AT,location,VA05,Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=13
asset,SN:352294624027655,OBSERVED_AT,location,VA05,Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=14
asset,SN:I1622C0001,OBSERVED_AT,location,VA05,Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=15
asset,SN:24163523021407,OBSERVED_AT,location,VA05,Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=16
asset,SN:2534123052300530,OBSERVED_AT,location,VA05,Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=17
asset,SN:5CD250F9PY,OBSERVED_AT,location,VA06,Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=2
asset,OBS:7BD37D447E,OBSERVED_AT,location,VA06,Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=3
asset,SN:MK410221101761,OBSERVED_AT,location,VA06,Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=4
asset,SN:G22F27193,OBSERVED_AT,location,VA06,Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=5
asset,SN:X7B9022769,OBSERVED_AT,location,VA06,Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=6
asset,SN:22253D8008245,OBSERVED_AT,location,VA06,Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=7
asset,SN:FGT40FTK24009146,OBSERVED_AT,location,VA06,Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=8
asset,SN:NMYA785124,OBSERVED_AT,location,VA06,Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=9
asset,SN:862854053047574,OBSERVED_AT,location,VA06,Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=10
asset,SN:I1623H0001,OBSERVED_AT,location,VA06,Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=11
asset,SN:XXZTN261200002,OBSERVED_AT,location,VA06,Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=12
asset,SN:9041B204E93D,OBSERVED_AT,location,VA06,Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=13
asset,SN:S26023524700822,OBSERVED_AT,location,VA06,Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=14
