model_code,name,manufacturer,category_code,source_refs
M-B8DF3B782A,Laptop Lenovo ThinkPad E490,,LAP,Asset management/Office/Office assets.xlsx#Sheet1!row=48
M-63CA6AA708,Laptop HP ProBook 440 G9,,LAP,Asset management/Office/Office assets.xlsx#Sheet1!row=67 | Asset management/Office/Office assets.xlsx#Sheet1!row=103 | Audit 2026 device/Office assets.xlsx#Asset!row=64
M-B75167F1BE,Laptop Dell G15 5520,,LAP,Asset management/Office/Office assets.xlsx#Sheet1!row=78 | Asset management/Office/Office assets.xlsx#Sheet1!row=79 | Audit 2026 device/Office assets.xlsx#Asset!row=75 | Audit 2026 device/Office assets.xlsx#Asset!row=76
M-39E74F20EF,Laptop HP Elite x360 1040,,LAP,Asset management/Office/Office assets.xlsx#Sheet1!row=99 | Asset management/Office/Office assets.xlsx#Sheet1!row=100 | Audit 2026 device/Office assets.xlsx#Asset!row=97 | Audit 2026 device/Office assets.xlsx#Asset!row=98
M-FA43C641B7,Laptop HP 14s-cf2xxx,,LAP,Asset management/Office/Office assets.xlsx#Sheet1!row=101 | Asset management/Office/Office assets.xlsx#Sheet1!row=102 | Audit 2026 device/Office assets.xlsx#Asset!row=99 | Audit 2026 device/Office assets.xlsx#Asset!row=100
M-1EA571DA3F,Office Asset,,OFF,Asset management/Office/Office assets.xlsx#Sheet1!row=104 | Audit 2026 device/Office assets.xlsx#Asset!row=102 | Audit 2026 device/Office assets.xlsx#Asset!row=103 | Audit 2026 device/Office assets.xlsx#Asset!row=104 | Audit 2026 device/Office assets.xlsx#Asset!row=105 | Audit 2026 device/Office assets.xlsx#Asset!row=106 | Audit 2026 device/Office assets.xlsx#Asset!row=107 | Audit 2026 device/Office assets.xlsx#Asset!row=108 | Audit 2026 device/Office assets.xlsx#Asset!row=109 | Audit 2026 device/Office assets.xlsx#Asset!row=110 | Audit 2026 device/Office assets.xlsx#Asset!row=111
M-342A24822F,HP Pro Mini 400 G9 - Intel Core i5 12500T/ (8GB x2) DDR4 3200/ SSD 512GB/ Mouse & Keyboard/ W11H/ 1Y Onsite,,POS,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=2 | Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=2 | Audit 2026 device/Data store/Audit/VA19.xlsx#VA19!row=2 | Audit 2026 device/Data store/Audit/VN28.xlsx#VN28!row=2
M-763A1D1E90,Keyboard,,POS,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=3 | Audit 2026 device/Data store/Audit/A003.xlsx#A003 ASICS GOLD COAST!row=3 | Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=13 | Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=3 | Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=3 | Audit 2026 device/Data store/Audit/VA04.xlsx#VA04!row=3 | Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=3 | Audit 2026 device/Data store/Audit/VA14.xlsx#VA14!row=5 | Audit 2026 device/Data store/Audit/VA18.xlsx#VA18 NEW BALANCE AEON HA DONG!row=3 | Audit 2026 device/Data store/Audit/VA19.xlsx#VA19!row=3 | Audit 2026 device/Data store/Audit/VA20.xlsx#VA20!row=5 | Audit 2026 device/Data store/Audit/VA24.xlsx#VA24 NEW BALANCE VINCOM BATRIEU!row=3 | Audit 2026 device/Data store/Audit/VH01.xlsx#VH01!row=3 | Audit 2026 device/Data store/Audit/VH02.xlsx#VH02!row=3 | Audit 2026 device/Data store/Audit/VH03.xlsx#VH03 SKECHERS AEON HAI PHONG!row=4 | Audit 2026 device/Data store/Audit/VN05.xlsx#VN05!row=3 | Audit 2026 device/Data store/Audit/VN09.xlsx#VN09!row=14 | Audit 2026 device/Data store/Audit/VN10.xlsx#VN10!row=3 | Audit 2026 device/Data store/Audit/VN16.xlsx#VN16!row=3 | Audit 2026 device/Data store/Audit/VN19.xlsx#VN19!row=3 | Audit 2026 device/Data store/Audit/VN28.xlsx#VN28!row=3 | Audit 2026 device/Data store/Audit/VO02.xlsx#VO02!row=57 | Audit 2026 device/Data store/Audit/VO04.xlsx#VO04 FOOT LOCKER AEON THANH KHE!row=20
M-C4141157CB,Mouse,,POS,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=4 | Audit 2026 device/Data store/Audit/A003.xlsx#A003 ASICS GOLD COAST!row=4 | Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=14 | Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=4 | Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=4 | Audit 2026 device/Data store/Audit/VA04.xlsx#VA04!row=4 | Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=4 | Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=3 | Audit 2026 device/Data store/Audit/VA08.xlsx#VA08!row=3 | Audit 2026 device/Data store/Audit/VA14.xlsx#VA14!row=4 | Audit 2026 device/Data store/Audit/VA18.xlsx#VA18 NEW BALANCE AEON HA DONG!row=4 | Audit 2026 device/Data store/Audit/VA19.xlsx#VA19!row=4 | Audit 2026 device/Data store/Audit/VA20.xlsx#VA20!row=6 | Audit 2026 device/Data store/Audit/VA23.xlsx#VA23!row=3 | Audit 2026 device/Data store/Audit/VA24.xlsx#VA24 NEW BALANCE VINCOM BATRIEU!row=4 | Audit 2026 device/Data store/Audit/VH01.xlsx#VH01!row=4 | Audit 2026 device/Data store/Audit/VH02.xlsx#VH02!row=4 | Audit 2026 device/Data store/Audit/VH03.xlsx#VH03 SKECHERS AEON HAI PHONG!row=5 | Audit 2026 device/Data store/Audit/VI03.xlsx#VI03!row=3 | Audit 2026 device/Data store/Audit/VN05.xlsx#VN05!row=4 | Audit 2026 device/Data store/!!!/VN06.xlsx#VN06!row=3 | Audit 2026 device/Data store/Audit/VN09.xlsx#VN09!row=15 | Audit 2026 device/Data store/Audit/VN10.xlsx#VN10!row=4 | Audit 2026 device/Data store/Audit/VN16.xlsx#VN16!row=4 | Audit 2026 device/Data store/Audit/VN28.xlsx#VN28!row=4 | Audit 2026 device/Data store/Audit/VO02.xlsx#VO02!row=58 | Audit 2026 device/Data store/Audit/VO04.xlsx#VO04 FOOT LOCKER AEON THANH KHE!row=21
M-C37B899178,Poscom,,POS,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=5 | Audit 2026 device/Data store/Audit/A002.xlsx#A002!row=3
M-F1D669CAC8,Pole Display VFD,,POS,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=6 | Audit 2026 device/Data store/Audit/A002.xlsx#A002!row=4 | Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=6 | Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=6 | Audit 2026 device/Data store/Audit/VA13.xlsx#VA13!row=5 | Audit 2026 device/Data store/Audit/VA15.xlsx#VA15!row=5 | Audit 2026 device/Data store/Audit/VA16.xlsx#VA16!row=12 | Audit 2026 device/Data store/Audit/VA16.xlsx#VA16!row=13 | Audit 2026 device/Data store/Audit/VA18.xlsx#VA18 NEW BALANCE AEON HA DONG!row=6 | Audit 2026 device/Data store/Audit/VA19.xlsx#VA19!row=6 | Audit 2026 device/Data store/Audit/VA20.xlsx#VA20!row=9 | Audit 2026 device/Data store/Audit/VA20.xlsx#VA20!row=10 | Audit 2026 device/Data store/Audit/VA24.xlsx#VA24 NEW BALANCE VINCOM BATRIEU!row=6 | Audit 2026 device/Data store/Audit/VH01.xlsx#VH01!row=6 | Audit 2026 device/Data store/Audit/VH02.xlsx#VH02!row=5 | Audit 2026 device/Data store/Audit/VH03.xlsx#VH03 SKECHERS AEON HAI PHONG!row=8 | Audit 2026 device/Data store/Audit/VI03.xlsx#VI03!row=5 | Audit 2026 device/Data store/Audit/VN05.xlsx#VN05!row=6 | Audit 2026 device/Data store/!!!/VN06.xlsx#VN06!row=5 | Audit 2026 device/Data store/Audit/VN10.xlsx#VN10!row=6 | Audit 2026 device/Data store/Audit/VN16.xlsx#VN16!row=6 | Audit 2026 device/Data store/Audit/VN28.xlsx#VN28!row=6
M-CD90B4BBAE,Datalogic QW2100,,POS,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=7 | Audit 2026 device/Data store/Audit/A002.xlsx#A002!row=5 | Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=7 | Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=7 | Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=7 | Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=5 | Audit 2026 device/Data store/Audit/VA08.xlsx#VA08!row=4 | Audit 2026 device/Data store/Audit/VA18.xlsx#VA18 NEW BALANCE AEON HA DONG!row=7 | Audit 2026 device/Data store/Audit/VA19.xlsx#VA19!row=7 | Audit 2026 device/Data store/Audit/VA20.xlsx#VA20!row=11 | Audit 2026 device/Data store/Audit/VA23.xlsx#VA23!row=4 | Audit 2026 device/Data store/Audit/VA24.xlsx#VA24 NEW BALANCE VINCOM BATRIEU!row=7 | Audit 2026 device/Data store/Audit/VH01.xlsx#VH01!row=7 | Audit 2026 device/Data store/Audit/VH02.xlsx#VH02!row=6 | Audit 2026 device/Data store/Audit/VH03.xlsx#VH03 SKECHERS AEON HAI PHONG!row=10 | Audit 2026 device/Data store/Audit/VI03.xlsx#VI03!row=6 | Audit 2026 device/Data store/Audit/VN05.xlsx#VN05!row=7 | Audit 2026 device/Data store/!!!/VN06.xlsx#VN06!row=6 | Audit 2026 device/Data store/Audit/VN10.xlsx#VN10!row=7 | Audit 2026 device/Data store/Audit/VN16.xlsx#VN16!row=7 | Audit 2026 device/Data store/Audit/VN28.xlsx#VN28!row=7
M-1EBD026F66,Monitor HP V190,,POS,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=8 | Audit 2026 device/Data store/Audit/A002.xlsx#A002!row=6 | Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=8 | Audit 2026 device/Data store/Audit/VA18.xlsx#VA18 NEW BALANCE AEON HA DONG!row=8 | Audit 2026 device/Data store/Audit/VA19.xlsx#VA19!row=8 | Audit 2026 device/Data store/Audit/VA24.xlsx#VA24 NEW BALANCE VINCOM BATRIEU!row=8 | Audit 2026 device/Data store/Audit/VN05.xlsx#VN05!row=8 | Audit 2026 device/Data store/Audit/VN07.xlsx#VN07!row=2 | Audit 2026 device/Data store/Audit/VN09.xlsx#VN09!row=2 | Audit 2026 device/Data store/Audit/VN19.xlsx#VN19!row=6 | Audit 2026 device/Data store/Audit/VN28.xlsx#VN28!row=8 | Audit 2026 device/Data store/Audit/VO04.xlsx#VO04 FOOT LOCKER AEON THANH KHE!row=17 | Audit 2026 device/Data store/Audit/VO04.xlsx#VO04 FOOT LOCKER AEON THANH KHE!row=18
M-A44B40D714,Epson TM-82III,,BACKEND,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=9 | Audit 2026 device/Data store/Audit/A002.xlsx#A002!row=7 | Audit 2026 device/Data store/Audit/A003.xlsx#A003 ASICS GOLD COAST!row=9 | Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=9 | Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=9 | Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=9 | Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=6 | Audit 2026 device/Data store/Audit/VA08.xlsx#VA08!row=5 | Audit 2026 device/Data store/Audit/VA18.xlsx#VA18 NEW BALANCE AEON HA DONG!row=9 | Audit 2026 device/Data store/Audit/VA19.xlsx#VA19!row=9 | Audit 2026 device/Data store/Audit/VA20.xlsx#VA20!row=14 | Audit 2026 device/Data store/Audit/VA20.xlsx#VA20!row=15 | Audit 2026 device/Data store/Audit/VA23.xlsx#VA23!row=5 | Audit 2026 device/Data store/Audit/VH02.xlsx#VH02!row=7 | Audit 2026 device/Data store/Audit/VI03.xlsx#VI03!row=7 | Audit 2026 device/Data store/Audit/VN05.xlsx#VN05!row=9 | Audit 2026 device/Data store/Audit/VN10.xlsx#VN10!row=9 | Audit 2026 device/Data store/Audit/VN16.xlsx#VN16!row=9 | Audit 2026 device/Data store/Audit/VN28.xlsx#VN28!row=9 | Audit 2026 device/Data store/Audit/VO04.xlsx#VO04 FOOT LOCKER AEON THANH KHE!row=29
M-7359091762,Cisco CBS110-16T-EU,,NET,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=10 | Audit 2026 device/Data store/Audit/A002.xlsx#A002!row=8 | Audit 2026 device/Data store/Audit/A003.xlsx#A003 ASICS GOLD COAST!row=10 | Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=4 | Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=10 | Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=10 | Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=10 | Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=10 | Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=7 | Audit 2026 device/Data store/Audit/VA08.xlsx#VA08!row=6 | Audit 2026 device/Data store/Audit/VA18.xlsx#VA18 NEW BALANCE AEON HA DONG!row=10 | Audit 2026 device/Data store/Audit/VA19.xlsx#VA19!row=10 | Audit 2026 device/Data store/Audit/VA24.xlsx#VA24 NEW BALANCE VINCOM BATRIEU!row=10 | Audit 2026 device/Data store/Audit/VH01.xlsx#VH01!row=10 | Audit 2026 device/Data store/Audit/VH03.xlsx#VH03 SKECHERS AEON HAI PHONG!row=17 | Audit 2026 device/Data store/!!!/VN06.xlsx#VN06!row=8 | Audit 2026 device/Data store/Audit/VN28.xlsx#VN28!row=10 | Audit 2026 device/Data store/Audit/VO04.xlsx#VO04 FOOT LOCKER AEON THANH KHE!row=5
M-0EF0AAD3FE,Unifi NanoHD,,NET,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=11
M-1D807E3F07,Fortigate FG-40F - 1 Year UTP license,,NET,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=12 | Audit 2026 device/Data store/Audit/A003.xlsx#A003 ASICS GOLD COAST!row=12 | Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=12 | Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=13 | Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=12 | Audit 2026 device/Data store/Audit/VA05.xlsx#VA05!row=12 | Audit 2026 device/Data store/Audit/VA06.xlsx#VA06!row=8 | Audit 2026 device/Data store/Audit/VA08.xlsx#VA08!row=8 | Audit 2026 device/Data store/Audit/VA18.xlsx#VA18 NEW BALANCE AEON HA DONG!row=12 | Audit 2026 device/Data store/Audit/VA19.xlsx#VA19!row=13 | Audit 2026 device/Data store/Audit/VA20.xlsx#VA20!row=18 | Audit 2026 device/Data store/Audit/VA23.xlsx#VA23!row=7 | Audit 2026 device/Data store/Audit/VA24.xlsx#VA24 NEW BALANCE VINCOM BATRIEU!row=13 | Audit 2026 device/Data store/Audit/VH01.xlsx#VH01!row=12 | Audit 2026 device/Data store/Audit/VH03.xlsx#VH03 SKECHERS AEON HAI PHONG!row=19 | Audit 2026 device/Data store/Audit/VI03.xlsx#VI03!row=8 | Audit 2026 device/Data store/Audit/VN05.xlsx#VN05!row=12 | Audit 2026 device/Data store/!!!/VN06.xlsx#VN06!row=9 | Audit 2026 device/Data store/Audit/VN07.xlsx#VN07!row=12 | Audit 2026 device/Data store/Audit/VN09.xlsx#VN09!row=13 | Audit 2026 device/Data store/Audit/VN10.xlsx#VN10!row=11 | Audit 2026 device/Data store/Audit/VN16.xlsx#VN16!row=12 | Audit 2026 device/Data store/Audit/VN28.xlsx#VN28!row=13
M-D1FAD0A5C2,HP laser 107a,,BACKEND,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=13 | Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=19
