asset_key,asset_code,asset_id,serial_number,name,category_code,model_code,location_code,intended_location_code,department_code,employee_id,status,raw_qty,unit_index,notes,source_kind,source_refs,needs_review,source_store_code
AID:22VN00000015,22VN00000015,22VN00000015,13D4SQ3,Laptop Dell Latitude 5430,LAP,M-C77A43B17B,HCM,,SCLOMMA0,23019398,IN_USE,1,1,Hostname: AMMAVNLOC000015; CPU: 2500 MHz 12th Gen Intel Core i5-1235U; RAM: 16; Disk: 512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=16 | Audit 2026 device/Office assets.xlsx#Asset!row=15,false,
AID:22VN00000016,22VN00000016,22VN00000016,99C2LG3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,SCOPMMA0,26027754,IN_USE,1,1,Hostname: AMMAVNLOC000016; CPU: 2200 MHz 11th Gen Intel Core i3-1115G4 @ 3.00GHz; RAM: 12; Disk: 512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=17 | Audit 2026 device/Office assets.xlsx#Asset!row=16 | Audit 2026 device/Office assets.xlsx#Asset!row=17,false,
AID:22VN00000017,22VN00000017,22VN00000017,JP8VKG3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,,,AVAILABLE,1,1,Hostname: AMMAVNWHC000017; CPU: 2200 MHz 11th Gen Intel Core i3-1115G4 @ 3.00GHz; RAM: 16; Disk: 256,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=18 | Audit 2026 device/Office assets.xlsx#Asset!row=18,false,
AID:22VN00000018,22VN00000018,22VN00000018,JR9VKG3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,SCLOMMA0,26033070,IN_USE,1,1,Hostname: AMMAVNWHC000018; CPU: 2200 MHz 11th Gen Intel Core i3-1115G4 @ 3.00GHz; RAM: 8; Disk: 256,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=19 | Audit 2026 device/Office assets.xlsx#Asset!row=19,false,
AID:22VN00000019,22VN00000019,22VN00000019,FQ8VKG3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,,,AVAILABLE,1,1,Hostname: AMMAVNLOC000019; CPU: 2200 MHz 11th Gen Intel Core i3-1115G4 @ 3.00GHz; RAM: 8; Disk: 256,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=20 | Audit 2026 device/Office assets.xlsx#Asset!row=20,false,
AID:22VN00000020,22VN00000020,22VN00000020,5BD4SQ3,Laptop Dell Latitude 5430,LAP,M-C77A43B17B,HCM,,SCCOMMA0,23019391,IN_USE,1,1,Hostname: AMMAVNCEC000020; CPU: 2500 MHz 12th Gen Intel Core i5-1235U; RAM: 16; Disk: 512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=21 | Audit 2026 device/Office assets.xlsx#Asset!row=21,false,
AID:22VN00000021,22VN00000021,22VN00000021,BTN0BG3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,SCCOMMA0,23019392,IN_USE,1,1,Hostname: AMMAVNCEC000021; CPU: 2200 MHz 11th Gen Intel Core i3-1115G4 @ 3.00GHz; RAM: 8; Disk: 256,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=22 | Audit 2026 device/Office assets.xlsx#Asset!row=22,false,
AID:22VN00000022,22VN00000022,22VN00000022,DP8VKG3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,SCCOMMA0,23019393,IN_USE,1,1,Hostname: AMMAVNCEC000022; CPU: 2200 MHz 11th Gen Intel Core i3-1115G4 @ 3.00GHz; RAM: 8; Disk: 256,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=23 | Audit 2026 device/Office assets.xlsx#Asset!row=23,false,
AID:22VN00000023,22VN00000023,22VN00000023,6S4JGL3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,SCHRMMA0,25019984,IN_USE,1,1,Hostname: AMMAVNCEC000023; CPU: 1400 MHz 11th Gen Intel Core i5-1135G7 @ 2.40GHz; RAM: 8; Disk: 256,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=24 | Audit 2026 device/Office assets.xlsx#Asset!row=24,false,
AID:22VN00000024,22VN00000024,22VN00000024,4R9VKG3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,,,UNDER_MAINTENANCE,1,1,Hostname: AMMAVNICC000024; CPU: 2200 MHz 11th Gen Intel Core i3-1115G4 @ 3.00GHz; RAM: 8; Disk: 256 | Sọc màn hình,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=25 | Audit 2026 device/Office assets.xlsx#Asset!row=25,false,
AID:22VN00000025,22VN00000025,22VN00000025,FGF3SQ3,Laptop Dell Latitude 5430,LAP,M-C77A43B17B,HCM,,SCITMMA0,23019389,IN_USE,1,1,Hostname: AMMAVNITC000025; CPU: 2500 MHz 12th Gen Intel Core i5-1235U; RAM: 16; Disk: 512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=26 | Audit 2026 device/Office assets.xlsx#Asset!row=26,false,
AID:22VN00000026,22VN00000026,22VN00000026,5CD73626Y5,Laptop HP ProBook 440 G4,LAP,M-9544C1F5DF,HCM,,,,IN_USE,1,1,Hostname: AMMAVNITC000026; CPU: 2700 MHz Core i5-7200U; RAM: 16; Disk: 256 | Unresolved holder name: Máy quản lý máy quét vân tay,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=27 | Audit 2026 device/Office assets.xlsx#Asset!row=27,true,
AID:22VN00000027,22VN00000027,22VN00000027,HRQCZH3,Laptop Dell Latitude 5420,LAP,M-485AB63FDB,HCM,,SCACMMA0,23019376,IN_USE,1,1,Hostname: AMMAVNMRC000027; CPU: 1400 MHz 11th Gen Intel Core i5-1135G7 @ 2.40GHz; RAM: 8; Disk: 512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=28 | Audit 2026 device/Office assets.xlsx#Asset!row=28,false,
AID:22VN00000028,22VN00000028,22VN00000028,GN8VKG3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,SCMDMMA0,23025932,IN_USE,1,1,Hostname: AMMAVNMDCC000028; CPU: 2200 MHz 11th Gen Intel Core i3-1115G4 @ 3.00GHz; RAM: 12; Disk: 256,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=29 | Audit 2026 device/Office assets.xlsx#Asset!row=29,false,
AID:22VN00000029,22VN00000029,22VN00000029,1P8VKG3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,VA04,,,,UNDER_MAINTENANCE,1,1,Hostname: VA04-ADMIN; CPU: 2200 MHz 11th Gen Intel Core i3-1115G4 @ 3.00GHz; RAM: 8; Disk: 256 | Unresolved holder name: VA04-ADMIN | Source quantity 1; unit 1 | Hư bản lề,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=30 | Audit 2026 device/Office assets.xlsx#Asset!row=102 | Audit 2026 device/Data store/Audit/VA04.xlsx#VA04!row=2,true,
AID:22VN00000030,22VN00000030,22VN00000030,PC133K78,Laptop Lenovo Thinkpad X280,LAP,M-367DE2FF9D,HCM,,,,AVAILABLE,1,1,Hostname: AMMAVNMRC000030; CPU: 1800 MHz Core i5-8250U; RAM: 8; Disk: 256,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=31 | Audit 2026 device/Office assets.xlsx#Asset!row=30,false,
AID:22VN00000031,22VN00000031,22VN00000031,4DBCZH3,Laptop Dell Latitude 5420,LAP,M-485AB63FDB,HCM,,,,AVAILABLE,1,1,Hostname: AMMAVNMDC000031; CPU: 1400 MHz 11th Gen Intel Core i5-1135G7 @ 2.40GHz; RAM: 8; Disk: 512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=32 | Audit 2026 device/Office assets.xlsx#Asset!row=31,false,
AID:22VN00000032,22VN00000032,22VN00000032,6GV7R93,Laptop Dell Latitude 3420,LAP,M-AB5CBB65FB,HCM,,SCLOMMA0,25023059,IN_USE,1,1,Hostname: AMMAVNLEC000032; CPU: 1400 MHz 11th Gen Intel Core i5-1135G7 @ 2.40GHz; RAM: 8; Disk: 640,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=33 | Audit 2026 device/Office assets.xlsx#Asset!row=32,false,
AID:22VN00000033,22VN00000033,22VN00000033,9P8VKG3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,SCLOMMA0,23019403,IN_USE,1,1,Hostname: AMMAVNWHC000033; CPU: 2200 MHz 11th Gen Intel Core i3-1115G4 @ 3.00GHz; RAM: 8; Disk: 512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=34 | Audit 2026 device/Office assets.xlsx#Asset!row=33,false,
AID:22VN00000034,22VN00000034,22VN00000034,DGBJGL3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,SCLOMMA0,25023059,IN_USE,1,1,Hostname: AMMAVNMDC000034; CPU: 1400 MHz 11th Gen Intel Core i5-1135G7 @ 2.40GHz; RAM: 8; Disk: 256,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=35 | Audit 2026 device/Office assets.xlsx#Asset!row=34,false,
AID:22VN00000035,22VN00000035,22VN00000035,4CBCZH3,Laptop Dell Latitude 5420,LAP,M-485AB63FDB,HCM,,SCMDMMA0,23019422,IN_USE,1,1,Hostname: AMMAVNMDC000035; CPU: 1400 MHz 11th Gen Intel Core i5-1135G7 @ 2.40GHz; RAM: 12; Disk: 512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=36 | Audit 2026 device/Office assets.xlsx#Asset!row=35,false,
AID:22VN00000037,22VN00000037,22VN00000037,6Q7JGL3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,SCBDMMA0,26032000,IN_USE,1,1,Hostname: AMMAVNMDC000036; CPU: 1400 MHz 11th Gen Intel Core i5-1135G7 @ 2.40GHz; RAM: 12; Disk: 512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=37 | Audit 2026 device/Office assets.xlsx#Asset!row=36,false,
AID:22VN00000038,22VN00000038,22VN00000038,4TS3SQ3,Laptop Dell Latitude 5430,LAP,M-C77A43B17B,HCM,,SCLOMMA0,26029060,IN_USE,1,1,Hostname: AMMAVNMDC000037; CPU: 2500 MHz 12th Gen Intel Core i5-1235U; RAM: 16; Disk: 512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=38 | Audit 2026 device/Office assets.xlsx#Asset!row=37,false,
AID:22VN00000039,22VN00000039,22VN00000039,HGBJGL3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,SCMKMMA0,23025944,IN_USE,1,1,Hostname: AMMAVNMDC000038; CPU: 1400 MHz 11th Gen Intel Core i5-1135G7 @ 2.40GHz; RAM: 20; Disk: 256+512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=39 | Audit 2026 device/Office assets.xlsx#Asset!row=38,false,
AID:22VN00000040,22VN00000040,22VN00000040,B65JGL3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,ZV31,,,,AVAILABLE,1,1,Hostname: ZV31-ADMIN; CPU: 1400 MHz 11th Gen Intel Core i5-1135G7 @ 2.40GHz; RAM: 8; Disk: 256,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=40,false,
AID:22VN00000041,22VN00000041,22VN00000041,GB23SQ3,Laptop Dell Latitude 5430,LAP,M-C77A43B17B,HCM,,SCMDMMA0,25013875,IN_USE,1,1,Hostname: AMMAVNBPC000041; CPU: 2500 MHz 12th Gen Intel Core i5-1235U; RAM: 16; Disk: 512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=41 | Audit 2026 device/Office assets.xlsx#Asset!row=39,false,
AID:22VN00000042,22VN00000042,22VN00000042,J94JGL3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,SCCOMMA0,23019394,IN_USE,1,1,Hostname: AMMAVNICC000042; CPU: 1400 MHz 11th Gen Intel Core i5-1135G7 @ 2.40GHz; RAM: 8; Disk: 256,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=42 | Audit 2026 device/Office assets.xlsx#Asset!row=40,false,
AID:22VN00000043,22VN00000043,22VN00000043,8F6JGL3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,,,IN_USE,1,1,CPU: 1400 MHz 11th Gen Intel Core i5-1135G7 @ 2.40GHz; RAM: 16; Disk: 512 | Unresolved holder name: VA04,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=43 | Audit 2026 device/Office assets.xlsx#Asset!row=41,true,
AID:22VN00000044,22VN00000044,22VN00000044,BGBJGL3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,SCMDMMA0,23019428,IN_USE,1,1,Hostname: AMMAVNMPC000044; CPU: 1400 MHz 11th Gen Intel Core i5-1135G7 @ 2.40GHz; RAM: 16; Disk: 256,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=44 | Audit 2026 device/Office assets.xlsx#Asset!row=42,false,
AID:22VN00000045,22VN00000045,22VN00000045,8DBRMV2,Laptop Dell Latitude 7490,LAP,M-76DECFD34A,HCM,,SCMKMMA0,,IN_USE,1,1,Hostname: AMMAVNOPC000045; CPU: 1900 MHz Core i5-8350U; RAM: 16; Disk: 256 | Unresolved holder name: Bui Ngoc Mai | Unresolved holder name: Bui Ngoc Mai,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=45 | Audit 2026 device/Office assets.xlsx#Asset!row=43 | Audit 2026 device/Office assets.xlsx#Asset!row=44,true,
AID:22VN00000046,22VN00000046,22VN00000046,5CD108K0PN,Laptop HP Pavilion 15-eg0xxx,LAP,M-A645DD1D89,HCM,,,,IN_USE,1,1,Hostname: AMMAVNMDC000046; CPU: 3000 MHz 11th Gen Intel Core i3-1115G4 @ 3.00GHz; RAM: 12; Disk: 256 | Unresolved holder name: VA13,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=46 | Audit 2026 device/Office assets.xlsx#Asset!row=45,true,
AID:22VN00000047,22VN00000047,22VN00000047,DFHLRQ3,Laptop Dell Latitude 5420,LAP,M-485AB63FDB,HCM,,SCOPMMA0,26026763,IN_USE,1,1,Hostname: AMMAVNOPC000047; CPU: 1400 MHz 11th Gen Intel Core i5-1135G7 @ 2.40GHz; RAM: 16; Disk: 512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=47 | Audit 2026 device/Office assets.xlsx#Asset!row=46 | Asset management/Warehouse/Asset_List_DSV.xlsx#Asset List!row=4,true,
AID:22VN00000048,22VN00000048,22VN00000048,PF1JT4Q6,Laptop Lenovo ThinkPad E490,LAP,M-B8DF3B782A,HCM,,,,IN_USE,1,1,Hostname: AMMAVNITC000048 change to ZV37-ADMIN; CPU: 1800 MHz Core i5-8265U; RAM: 8; Disk: 500 | Unresolved holder name: ZV37-ADMIN,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=48 | Audit 2026 device/Office assets.xlsx#Asset!row=104,true,
AID:22VN00000049,22VN00000049,22VN00000049,6R4JGL3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,SCHRMMA0,26027749,IN_USE,1,1,Hostname: AMMAVNMDC000049; CPU: 1400 MHz 11th Gen Intel Core i5-1135G7 @ 2.40GHz; RAM: 8; Disk: 256,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=49 | Audit 2026 device/Office assets.xlsx#Asset!row=47 | Audit 2026 device/Office assets.xlsx#Asset!row=48,false,
AID:22VN00000050,22VN00000050,22VN00000050,9NN2SQ3,Laptop Dell Latitude 5430,LAP,M-C77A43B17B,HCM,,,23026764,IN_USE,1,1,Hostname: AMMAVNITC000050; CPU: 2500 MHz 12th Gen Intel Core i5-1235U; RAM: 16; Disk: 512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=50 | Audit 2026 device/Office assets.xlsx#Asset!row=49,false,
AID:22VN00000051,22VN00000051,22VN00000051,66XN2F3,Laptop Dell Latitude 5420,LAP,M-485AB63FDB,HCM,,SCACMMA0,23019370,IN_USE,1,1,Hostname: AMMAVNACC000051; CPU: 1400 MHz 11th Gen Intel Core i5-1135G7 @ 2.40GHz; RAM: 16; Disk: 1024,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=51 | Audit 2026 device/Office assets.xlsx#Asset!row=50,false,
AID:22VN00000052,22VN00000052,22VN00000052,2NS0HW3,Laptop Dell Latitude 5430,LAP,M-C77A43B17B,HCM,,SCOPMMA0,23026370,IN_USE,1,1,Hostname: AMMAVNPDC000052; CPU: 2500 MHz 12th Gen Intel Core i5-1235U; RAM: 16; Disk: 512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=52 | Audit 2026 device/Office assets.xlsx#Asset!row=51,false,
AID:22VN00000053,22VN00000053,22VN00000053,4BH2SQ3,Laptop Dell Latitude 5430,LAP,M-C77A43B17B,HCM,,SCOPMMA0,23027920,IN_USE,1,1,Hostname: AMMAVNWSC000053; CPU: 2500 MHz 12th Gen Intel Core i5-1235U; RAM: 16; Disk: 512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=53 | Audit 2026 device/Office assets.xlsx#Asset!row=52,false,
AID:22VN00000054,22VN00000054,22VN00000054,DQ9VKG3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,,,UNDER_MAINTENANCE,1,1,Hostname: AMMAVNWSC000054; CPU: 2200 MHz 11th Gen Intel Core i3-1115G4 @ 3.00GHz; RAM: 8; Disk: 256 | Hư bản lề,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=54 | Audit 2026 device/Office assets.xlsx#Asset!row=53,false,
AID:22VN00000055,22VN00000055,22VN00000055,FR8VKG3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,,,IN_USE,1,1,Hostname: AMMAVNWSC000055; CPU: 2200 MHz 11th Gen Intel Core i3-1115G4 @ 3.00GHz; RAM: 8; Disk: 256 | Unresolved holder name: ZV34,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=55 | Audit 2026 device/Office assets.xlsx#Asset!row=54,true,
AID:22VN00000056,22VN00000056,22VN00000056,CR8VKG3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,,,UNDER_MAINTENANCE,1,1,Hostname: AMMAVNWSC000056; CPU: 2200 MHz 11th Gen Intel Core i3-1115G4 @ 3.00GHz; RAM: 8; Disk: 256 | Hư phím,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=56 | Audit 2026 device/Office assets.xlsx#Asset!row=55,false,
AID:22VN00000057,22VN00000057,22VN00000057,2R9VKG3,Laptop Dell Latitude 3520,LAP,M-EC8F0C4F53,HCM,,,,UNDER_MAINTENANCE,1,1,Hostname: AMMAVNWSC000057; CPU: 2200 MHz 11th Gen Intel Core i3-1115G4 @ 3.00GHz; RAM: 8; Disk: 256 | Hư phím,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=57 | Audit 2026 device/Office assets.xlsx#Asset!row=56,false,
AID:22VN00000058,22VN00000058,22VN00000058,C3KCZH3,Laptop Dell Latitude 5420,LAP,M-485AB63FDB,HCM,,,,AVAILABLE,1,1,Hostname: AMMAVNECC000058; CPU: 1400 MHz 11th Gen Intel Core i5-1135G7 @ 2.40GHz; RAM: 16; Disk: 512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=58 | Audit 2026 device/Office assets.xlsx#Asset!row=57,false,
AID:22VN00000059,22VN00000059,22VN00000059,DGGDZH3,Laptop Dell Latitude 5420,LAP,M-485AB63FDB,HCM,,SCECMMA0,25006527,IN_USE,1,1,Hostname: AMMAVNECC000115; CPU: 1400 MHz 11th Gen Intel Core i5-1135G7 @ 2.40GHz; RAM: 16; Disk: 512,OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=59 | Audit 2026 device/Office assets.xlsx#Asset!row=58,false,
AID:22VN00000060,22VN00000060,22VN00000060,PC0UQCVY,Laptop Lenovo Thinkpad X280,LAP,M-367DE2FF9D,HCM,,,,IN_USE,1,1,Hostname: AMMAVNOPC000060; CPU: 1800 MHz Core i5-8250U; RAM: 8; Disk: 256 | Unresolved holder name: Foot Locker Suppervisior(NGuyen Si Anh),OFFICE_ASSET,Asset management/Office/Office assets.xlsx#Sheet1!row=60 | Audit 2026 device/Office assets.xlsx#Asset!row=105,true,
